lang,head_num,attr_num,verb_num,model,is_syn,mean,se
eng,sg,pl,pl,gpt,no,9.846052165315623,0.24919993022949033
eng,sg,pl,pl,gpt,yes,7.849310657778299,0.3086716831073665
eng,sg,pl,sg,gpt,no,4.002910989339846,0.23024678356875425
eng,sg,pl,sg,gpt,yes,2.6472340103079373,0.1768540395816441
eng,sg,sg,pl,gpt,no,10.676376836444625,0.22708863942856872
eng,sg,sg,pl,gpt,yes,10.747128893838177,0.27415980526691325
eng,sg,sg,sg,gpt,no,3.564528932117055,0.193438732264198
eng,sg,sg,sg,gpt,yes,2.8986687475959436,0.22166329301211607
eng,sg,pl,pl,bert,no,28.617919724903416,0.3083996126827544
eng,sg,pl,pl,bert,yes,27.318295130794287,0.39462346459147757
eng,sg,pl,sg,bert,no,28.617919724903416,0.3083996126827544
eng,sg,pl,sg,bert,yes,27.318295130794287,0.39462346459147757
eng,sg,sg,pl,bert,no,28.624664712487604,0.31372276439051944
eng,sg,sg,pl,bert,yes,27.503903623119655,0.42638511004856045
eng,sg,sg,sg,bert,no,28.624664712487604,0.31372276439051944
eng,sg,sg,sg,bert,yes,27.503903623119655,0.42638511004856045
tr,sg,pl,pl,bert,no,15.986573766371352,0.434070197953946
tr,sg,pl,pl,bert,yes,16.45616112711745,0.6545021425803711
tr,sg,pl,pl,gpt2,no,-9.956330008289878,0.7718624080199404
tr,sg,pl,pl,gpt2,yes,-10.667431699376898,0.9609423064474542
tr,sg,pl,sg,bert,no,15.230238583386118,0.5486938602351411
tr,sg,pl,sg,bert,yes,15.709949033114247,0.8105280485588126
tr,sg,pl,sg,gpt2,no,-8.320154601668504,0.9949912163963139
tr,sg,pl,sg,gpt2,yes,-7.8345540554671205,1.24961837218988
tr,sg,sg,pl,bert,no,15.834407964439283,0.47065633635272774
tr,sg,sg,pl,bert,yes,15.985718388430957,0.64704078031626
tr,sg,sg,pl,gpt2,no,-12.502090829434279,0.8004328532848352
tr,sg,sg,pl,gpt2,yes,-13.229193958583057,0.9769152324602611
tr,sg,sg,sg,bert,no,15.015632840223727,0.5309286036793154
tr,sg,sg,sg,bert,yes,15.282542034014897,0.7334527516606868
tr,sg,sg,sg,gpt2,no,-8.086551793877788,1.018291428585439
tr,sg,sg,sg,gpt2,yes,-7.487351249746295,1.2164881794725704
rus,pl,pl,pl,bert,no,24.392262980343226,0.3669654081951444
rus,pl,pl,pl,bert,yes,22.657798477955723,0.28139820493654955
rus,pl,pl,sg,bert,no,20.91518089722836,0.30448158010993526
rus,pl,pl,sg,bert,yes,19.267524053122845,0.27917039626128287
rus,pl,sg,pl,bert,no,24.31041502653988,0.3688752924320028
rus,pl,sg,pl,bert,yes,22.65878060208174,0.30244901821127135
rus,pl,sg,sg,bert,no,20.91837891462115,0.2965055442278496
rus,pl,sg,sg,bert,yes,19.318235132728496,0.28816710227826164
rus,sg,pl,pl,bert,no,23.06269028478294,0.36267289628801513
rus,sg,pl,pl,bert,yes,21.295141032694065,0.32355402717699344
rus,sg,pl,sg,bert,no,22.004718748444102,0.371156773900158
rus,sg,pl,sg,bert,yes,20.899608108968444,0.2862977151941556
rus,sg,sg,pl,bert,no,22.965131543840624,0.3435113851965251
rus,sg,sg,pl,bert,yes,21.487410378690818,0.32550793474881035
rus,sg,sg,sg,bert,no,22.035953102408307,0.35768915497686105
rus,sg,sg,sg,bert,yes,20.91563520659888,0.292473659777518
